"id";"cidade";"latitude";"longitude"
1;"Abatiá";-23,3049;-50,3133
2;"Adrianópolis";-24,6606;-48,9922
3;"Agudos do Sul";-25,9899;-49,3343
4;"Almirante Tamandaré";-25,3188;-49,3037
5;"Altamira do Paraná";-24,7983;-52,7128
6;"Alto Paraíso";-26,1146;-52,7469
7;"Alto Paraná";-23,1312;-52,3189
8;"Alto Piquiri";-24,0224;-53,44
9;"Altônia";-23,8759;-53,8958
10;"Alvorada do Sul";-22,7813;-51,2297
11;"Amaporã";-23,0943;-52,7866
12;"Ampére";-25,9168;-53,4686
13;"Anahy";-24,6449;-53,1332
14;"Andirá";-23,0533;-50,2304
15;"Ângulo";-23,1946;-51,9154
16;"Antonina";-25,4386;-48,7191
17;"Antônio Olinto";-25,9804;-50,1972
18;"Apucarana";-23,55;-51,4635
19;"Arapongas";-23,4153;-51,4259
20;"Arapoti";-24,1548;-49,8285
21;"Arapuã";-24,3132;-51,7856
22;"Araruna";-23,9315;-52,5021
23;"Araucária";-25,5859;-49,4047
24;"Ariranha do Ivaí";-24,3857;-51,5839
25;"Assaí";-23,3697;-50,8459
26;"Assis Chateaubriand";-24,4168;-53,5213
27;"Astorga";-23,2318;-51,6668
28;"Atalaia";-23,1517;-52,0551
29;"Balsa Nova";-25,5804;-49,6291
30;"Bandeirantes";-23,1078;-50,3704
31;"Barbosa Ferraz";-24,0334;-52,004
32;"Barra do Jacaré";-23,116;-50,1842
33;"Barracão";-26,2502;-53,6324
34;"Bela Vista da Caroba";-25,8842;-53,6725
35;"Bela Vista do Paraíso";-22,9937;-51,1927
36;"Bituruna";-26,1607;-51,5518
37;"Boa Esperança do Iguaçu";-25,6324;-53,2108
38;"Boa Esperança";-24,2467;-52,7876
39;"Boa Ventura de São Roque";-24,8688;-51,6276
40;"Boa Vista da Aparecida";-25,4308;-53,4117
41;"Bocaiúva do Sul";-25,2066;-49,1141
42;"Bom Jesus do Sul";-26,1958;-53,5955
43;"Bom Sucesso do Sul";-26,0731;-52,8353
44;"Bom Sucesso";-23,7063;-51,7671
45;"Borrazópolis";-23,9366;-51,5875
46;"Braganey";-24,8173;-53,1218
47;"Brasilândia do Sul";-24,1978;-53,5275
48;"Cafeara";-22,789;-51,7142
49;"Cafelândia";-24,6189;-53,3207
50;"Cafezal do Sul";-23,9005;-53,5124
51;"Califórnia";-23,6566;-51,3574
52;"Cambará";-23,0423;-50,0753
53;"Cambé";-23,2766;-51,2798
54;"Cambira";-23,589;-51,5792
55;"Campina da Lagoa";-24,5893;-52,7976
56;"Campina do Simão";-25,0802;-51,8237
57;"Campina Grande do Sul";-25,3044;-49,0551
58;"Campo Bonito";-25,0294;-52,9939
59;"Campo do Tenente";-25,98;-49,6844
60;"Campo Largo";-25,4525;-49,529
61;"Campo Magro";-25,3687;-49,4501
62;"Campo Mourão";-24,0463;-52,378
